Node	Time	Intraday_Price
2	1	42.33941151229587
2	2	31.974220053540144
2	3	41.56590534376252
2	4	42.867738629923096
2	5	38.77482562598139
2	6	38.85431049215942
2	7	41.857006172232914
2	8	55.71798266585979
2	9	56.867897039275704
2	10	53.63232127528852
2	11	43.45666095588916
2	12	56.67480840593919
2	13	42.78839276933237
2	14	42.4715869766196
2	15	41.21170942104586
2	16	42.274730074343616
2	17	49.481984466521936
2	18	49.29825881794858
2	19	45.01303363539557
2	20	40.870932634089854
2	21	46.926337619883626
2	22	44.2535584630252
2	23	39.51150231310417
2	24	43.153825819435724
3	1	33.098199951237405
3	2	33.6090551021053
3	3	33.1306244622479
3	4	31.916767524202392
3	5	33.83327876346395
3	6	36.11061541108881
3	7	46.118600414734594
3	8	52.51398890619211
3	9	52.270357337530164
3	10	57.62318209597947
3	11	49.0411768836261
3	12	45.048171792714264
3	13	41.17557120857211
3	14	43.4753946637454
3	15	44.858236129485675
3	16	49.57900851434616
3	17	46.15039301693234
3	18	53.10274304737994
3	19	53.40068640544151
3	20	56.02435303468636
3	21	47.55965029881949
3	22	41.38085653096494
3	23	40.90137200380227
3	24	34.1654961306483
4	1	36.69855111912078
4	2	35.666075243047956
4	3	34.91070339963436
4	4	34.422142000201404
4	5	34.44567378506012
4	6	38.53208280241577
4	7	47.747536838785614
4	8	61.959627567959984
4	9	61.92024278148208
4	10	55.934327554481065
4	11	50.98298130332938
4	12	47.58616706554143
4	13	44.72724440392156
4	14	43.74805556074126
4	15	45.20232863723144
4	16	49.671193713579875
4	17	51.9894380396965
4	18	59.227515704172255
4	19	58.67042479863219
4	20	54.028736806654116
4	21	49.55679463853212
4	22	46.17963899740345
4	23	43.754791963611844
4	24	39.512822114569026
5	1	37.736047840912576
5	2	36.22702974214491
5	3	34.74011433975731
5	4	34.30897237632263
5	5	35.39571345226327
5	6	38.28701584929354
5	7	48.379410540055254
5	8	61.95843118453361
5	9	60.441605536769565
5	10	54.82411539209566
5	11	51.450565922918045
5	12	48.60791278346536
5	13	44.9024264588486
5	14	43.472184212882794
5	15	46.18045982650252
5	16	48.02105078613767
5	17	52.26162712747533
5	18	57.60239056475388
5	19	58.50677993802763
5	20	53.57860892214852
5	21	47.53328412640047
5	22	44.56206285005718
5	23	43.023538956613336
5	24	38.41380158211863
6	1	37.48112173536194
6	2	35.77337496198464
6	3	34.76891433084205
6	4	34.628657635040845
6	5	35.55278739128213
6	6	38.89941861013063
6	7	49.03526237984011
6	8	60.49107135170603
6	9	59.90480819557975
6	10	54.99325590135342
6	11	50.98663296721942
6	12	47.78023669158655
6	13	44.5085525609913
6	14	42.775287834619036
6	15	44.79814120255351
6	16	46.85133011506611
6	17	50.633796854485354
6	18	56.249513868267435
6	19	57.463243252621126
6	20	52.56306272855046
6	21	48.284924829649356
6	22	45.0800040370034
6	23	43.24463483562536
6	24	39.29343726420168
