Node	Time	Technology	Operational_mode	Cost
2	1	Power_Grid	1	0.0
2	2	Power_Grid	1	0.0
2	3	Power_Grid	1	0.0
2	4	Power_Grid	1	0.0
2	5	Power_Grid	1	0.0
2	6	Power_Grid	1	0.0
2	7	Power_Grid	1	0.0
2	8	Power_Grid	1	0.0
2	9	Power_Grid	1	0.0
2	10	Power_Grid	1	0.0
2	11	Power_Grid	1	0.0
2	12	Power_Grid	1	0.0
2	13	Power_Grid	1	0.0
2	14	Power_Grid	1	0.0
2	15	Power_Grid	1	0.0
2	16	Power_Grid	1	0.0
2	17	Power_Grid	1	0.0
2	18	Power_Grid	1	0.0
2	19	Power_Grid	1	0.0
2	20	Power_Grid	1	0.0
2	21	Power_Grid	1	0.0
2	22	Power_Grid	1	0.0
2	23	Power_Grid	1	0.0
2	24	Power_Grid	1	0.0
2	1	Power_Grid	2	-1.162
2	2	Power_Grid	2	-1.162
2	3	Power_Grid	2	-1.162
2	4	Power_Grid	2	-1.162
2	5	Power_Grid	2	-1.162
2	6	Power_Grid	2	-1.162
2	7	Power_Grid	2	-1.162
2	8	Power_Grid	2	-1.162
2	9	Power_Grid	2	-1.162
2	10	Power_Grid	2	-1.162
2	11	Power_Grid	2	-1.162
2	12	Power_Grid	2	-1.162
2	13	Power_Grid	2	-1.162
2	14	Power_Grid	2	-1.162
2	15	Power_Grid	2	-1.162
2	16	Power_Grid	2	-1.162
2	17	Power_Grid	2	-1.162
2	18	Power_Grid	2	-1.162
2	19	Power_Grid	2	-1.162
2	20	Power_Grid	2	-1.162
2	21	Power_Grid	2	-1.162
2	22	Power_Grid	2	-1.162
2	23	Power_Grid	2	-1.162
2	24	Power_Grid	2	-1.162
2	1	Power_Grid	3	250.0
2	2	Power_Grid	3	250.0
2	3	Power_Grid	3	250.0
2	4	Power_Grid	3	250.0
2	5	Power_Grid	3	250.0
2	6	Power_Grid	3	250.0
2	7	Power_Grid	3	250.0
2	8	Power_Grid	3	250.0
2	9	Power_Grid	3	250.0
2	10	Power_Grid	3	250.0
2	11	Power_Grid	3	250.0
2	12	Power_Grid	3	250.0
2	13	Power_Grid	3	250.0
2	14	Power_Grid	3	250.0
2	15	Power_Grid	3	250.0
2	16	Power_Grid	3	250.0
2	17	Power_Grid	3	250.0
2	18	Power_Grid	3	250.0
2	19	Power_Grid	3	250.0
2	20	Power_Grid	3	250.0
2	21	Power_Grid	3	250.0
2	22	Power_Grid	3	250.0
2	23	Power_Grid	3	250.0
2	24	Power_Grid	3	250.0
2	1	Power_Grid	4	-50.0
2	2	Power_Grid	4	-50.0
2	3	Power_Grid	4	-50.0
2	4	Power_Grid	4	-50.0
2	5	Power_Grid	4	-50.0
2	6	Power_Grid	4	-50.0
2	7	Power_Grid	4	-50.0
2	8	Power_Grid	4	-50.0
2	9	Power_Grid	4	-50.0
2	10	Power_Grid	4	-50.0
2	11	Power_Grid	4	-50.0
2	12	Power_Grid	4	-50.0
2	13	Power_Grid	4	-50.0
2	14	Power_Grid	4	-50.0
2	15	Power_Grid	4	-50.0
2	16	Power_Grid	4	-50.0
2	17	Power_Grid	4	-50.0
2	18	Power_Grid	4	-50.0
2	19	Power_Grid	4	-50.0
2	20	Power_Grid	4	-50.0
2	21	Power_Grid	4	-50.0
2	22	Power_Grid	4	-50.0
2	23	Power_Grid	4	-50.0
2	24	Power_Grid	4	-50.0
2	1	ElectricBoiler	1	0.0
2	2	ElectricBoiler	1	0.0
2	3	ElectricBoiler	1	0.0
2	4	ElectricBoiler	1	0.0
2	5	ElectricBoiler	1	0.0
2	6	ElectricBoiler	1	0.0
2	7	ElectricBoiler	1	0.0
2	8	ElectricBoiler	1	0.0
2	9	ElectricBoiler	1	0.0
2	10	ElectricBoiler	1	0.0
2	11	ElectricBoiler	1	0.0
2	12	ElectricBoiler	1	0.0
2	13	ElectricBoiler	1	0.0
2	14	ElectricBoiler	1	0.0
2	15	ElectricBoiler	1	0.0
2	16	ElectricBoiler	1	0.0
2	17	ElectricBoiler	1	0.0
2	18	ElectricBoiler	1	0.0
2	19	ElectricBoiler	1	0.0
2	20	ElectricBoiler	1	0.0
2	21	ElectricBoiler	1	0.0
2	22	ElectricBoiler	1	0.0
2	23	ElectricBoiler	1	0.0
2	24	ElectricBoiler	1	0.0
2	1	ElectricBoiler	2	0.0
2	2	ElectricBoiler	2	0.0
2	3	ElectricBoiler	2	0.0
2	4	ElectricBoiler	2	0.0
2	5	ElectricBoiler	2	0.0
2	6	ElectricBoiler	2	0.0
2	7	ElectricBoiler	2	0.0
2	8	ElectricBoiler	2	0.0
2	9	ElectricBoiler	2	0.0
2	10	ElectricBoiler	2	0.0
2	11	ElectricBoiler	2	0.0
2	12	ElectricBoiler	2	0.0
2	13	ElectricBoiler	2	0.0
2	14	ElectricBoiler	2	0.0
2	15	ElectricBoiler	2	0.0
2	16	ElectricBoiler	2	0.0
2	17	ElectricBoiler	2	0.0
2	18	ElectricBoiler	2	0.0
2	19	ElectricBoiler	2	0.0
2	20	ElectricBoiler	2	0.0
2	21	ElectricBoiler	2	0.0
2	22	ElectricBoiler	2	0.0
2	23	ElectricBoiler	2	0.0
2	24	ElectricBoiler	2	0.0
2	1	ElectricBoiler	3	0.0
2	2	ElectricBoiler	3	0.0
2	3	ElectricBoiler	3	0.0
2	4	ElectricBoiler	3	0.0
2	5	ElectricBoiler	3	0.0
2	6	ElectricBoiler	3	0.0
2	7	ElectricBoiler	3	0.0
2	8	ElectricBoiler	3	0.0
2	9	ElectricBoiler	3	0.0
2	10	ElectricBoiler	3	0.0
2	11	ElectricBoiler	3	0.0
2	12	ElectricBoiler	3	0.0
2	13	ElectricBoiler	3	0.0
2	14	ElectricBoiler	3	0.0
2	15	ElectricBoiler	3	0.0
